Kyivska;VYSHHORODSKYI;Dymer;07330
Mykolaivska;MYKOLAIVSKYI;Mykolaiv;54009
Lvivska;ZOLOCHIVSKYI;Velyn;80630
Lvivska;LVIVSKYI;Lviv;79061
Dnipropetrovska;NIKOPOLSKYI;VOLIA;53271
Zaporizka;VASYLIVSKYI;Blahovishchenka;71330
Zaporizka;POLOHIVSKYI;Rozivka;70301
Kyiv;Kyiv;Kyiv;02167
Kyiv;Kyiv;Kyiv;01021
Zhytomyrska;ZHYTOMYRSKYI;Zhytomyr;10025
Zaporizka;ZAPORIZKYI;Natalivka;70430
Zaporizka;BERDIANSKYI;Vladivka;71221
Dnipropetrovska;DNIPROVSKYI;Dnipro;49010
Donetska;BAKHMUTSKYI;Zvanivka;84528
Zaporizka;VASYLIVSKYI;Velyka Bilozerka;71400
Donetska;MARIUPOLSKYI;Staryi Krym;87591
Kyiv;Kyiv;Kyiv;03035
Donetska;MARIUPOLSKYI;Mariupol;87522
Volynska;KOVELSKYI;Liublynets;45034
Kyiv;Kyiv;Kyiv;02160
Vinnytska;HAISYNSKYI;Sobolivka;23820
Luhanska;STAROBILSKYI;Kryzke;92424
Zaporizka;MELITOPOLSKYI;Prudentove;72417
Zhytomyrska;KOROSTENSKYI;Olevsk;11002
Luhanska;SHCHASTYNSKYI;Kozachyi;93626
Kirovohradska;HOLOVANIVSKYI;Tauzhne;26330
Zaporizka;VASYLIVSKYI;Ternuvate;71601
Vinnytska;VINNYTSKYI;Ahronomichne;23227
Ivano-Frankivska;KOSIVSKYI;Yabluniv;78621
Kirovohradska;NOVOUKRAINSKYI;Lypniazhka;27015
Dnipropetrovska;DNIPROVSKYI;Dnipro;49022
Kyivska;FASTIVSKYI;Kniazhychi;08146
Lvivska;LVIVSKYI;Konopnytsia;81110
Ivano-Frankivska;KALUSKYI;Serednia;77316
Lvivska;LVIVSKYI;Lviv;79009
Donetska;KRAMATORSKYI;Oleksandro-Shultyne;85103
Zaporizka;MELITOPOLSKYI;Daleke;72250
Zaporizka;POLOHIVSKYI;Mala Tokmachka;70504
Donetska;BAKHMUTSKYI;Vesela Dolyna;84511
Kyivska;OBUKHIVSKYI;Ivankovychi;08632
Donetska;POKROVSKYI;Krasnohorivka;85400
Kirovohradska;NOVOUKRAINSKYI;Kostiantynivka;26000
Dnipropetrovska;NIKOPOLSKYI;Tomakivka;53500
Donetska;KRAMATORSKYI;Druzhkivka;84207
Luhanska;SHCHASTYNSKYI;Peredilske;93615
Ivano-Frankivska;KALUSKYI;Dovhyi Voinyliv;77320
Zaporizka;BERDIANSKYI;Troitske;71133
Zaporizka;ZAPORIZKYI;Zaporizhzhia;69097
Dnipropetrovska;KRYVORIZKYI;Kryvyi Rih;50027
Lvivska;SHEPTYTSKYI;Yastrubychi;80215
Kyiv;Kyiv;Kyiv;03505
Kyiv;Kyiv;Kyiv;04078
Ivano-Frankivska;KOLOMYISKYI;Mateivtsi;78267
Kyivska;BORYSPILSKYI;Studenyky;08421
Ivano-Frankivska;IVANO-FRANKIVSKYI;Stebnyk;77455
Zaporizka;ZAPORIZKYI;Stepne;70432
Dnipropetrovska;DNIPROVSKYI;Sursko-Lytovske;52064
Ivano-Frankivska;IVANO-FRANKIVSKYI;Kupeliv;78013
Zaporizka;MELITOPOLSKYI;Melitopol;72305
Vinnytska;HAISYNSKYI;Kapustiany;24332
Ivano-Frankivska;IVANO-FRANKIVSKYI;Poberezhzhia;77430
Zaporizka;VASYLIVSKYI;Peremozhne;71730
Zaporizka;VASYLIVSKYI;Vyshneve;71733
Lvivska;LVIVSKYI;Viniavy;81162
Zakarpatska;KHUSTSKYI;Brid;90115
Kirovohradska;HOLOVANIVSKYI;Holovanivsk;26500
Donetska;POKROVSKYI;Marinka;85600
Zaporizka;BERDIANSKYI;Berdiansk;71101
Kyivska;BILOTSERKIVSKYI;Rozkishna;09440
Lvivska;YAVORIVSKYI;Vizhomlia;81067
Zaporizka;BERDIANSKYI;Novosoldatske;71135
Zhytomyrska;KOROSTENSKYI;Olevsk;11001
Donetska;KRAMATORSKYI;Oleksandrivka;84000
